(base) xiazeyu@d01:/mnt/data_x3/xiazeyu/stanford-cs336-main/assignment1-basics/cs
336_basics$ conda activate cs336
(cs336) xiazeyu@d01:/mnt/data_x3/xiazeyu/stanford-cs336-main/assignment1-basics/c
s336_basics$ cd /mnt/data_x3/xiazeyu/stanford-cs336-main/assignment1-basics/cs336
_basics
(cs336) xiazeyu@d01:/mnt/data_x3/xiazeyu/stanford-cs336-main/assignment1-basics/c
s336_basics$ python train_loop.py
模型参数数量: 22,696,448
训练数据加载完成:
  - 文件路径: ../artifacts/tinystories_train.bin
  - Token 总数: 540,803,381
  - 数据类型: uint16
  - 内存占用: 1031.50 MB (虚拟，实际按需加载)
total_steps: 10000

训练设备: cuda
总训练步数: 10000
评估间隔: 100 步
Step 1/10000 | Train Loss: 9.2507 | Eval Train Loss: 9.1185
Step 10/10000 | Train Loss: 8.1991
Step 20/10000 | Train Loss: 7.4005
Step 30/10000 | Train Loss: 6.7233
Step 40/10000 | Train Loss: 6.1226
Step 50/10000 | Train Loss: 5.6966
Step 60/10000 | Train Loss: 5.3506
Step 70/10000 | Train Loss: 5.0636
Step 80/10000 | Train Loss: 4.8680
Step 90/10000 | Train Loss: 4.6912
Step 100/10000 | Train Loss: 4.5114 | Eval Train Loss: 4.5005
Step 110/10000 | Train Loss: 4.3799
Step 120/10000 | Train Loss: 4.2251
Step 130/10000 | Train Loss: 4.1459
Step 140/10000 | Train Loss: 3.9981
Step 150/10000 | Train Loss: 3.9675
Step 160/10000 | Train Loss: 3.8944
Step 170/10000 | Train Loss: 3.8830
Step 180/10000 | Train Loss: 3.7960
Step 190/10000 | Train Loss: 3.6771
Step 200/10000 | Train Loss: 3.6710 | Eval Train Loss: 3.6371
Step 210/10000 | Train Loss: 3.5864
Step 220/10000 | Train Loss: 3.5928
Step 230/10000 | Train Loss: 3.5117
Step 240/10000 | Train Loss: 3.4537
Step 250/10000 | Train Loss: 3.3417
Step 260/10000 | Train Loss: 3.3984
Step 270/10000 | Train Loss: 3.3322
Step 280/10000 | Train Loss: 3.3887
Step 290/10000 | Train Loss: 3.2925
Step 300/10000 | Train Loss: 3.2492 | Eval Train Loss: 3.3078
Step 310/10000 | Train Loss: 3.2343
Step 320/10000 | Train Loss: 3.2773
Step 330/10000 | Train Loss: 3.2499
Step 340/10000 | Train Loss: 3.2096
Step 350/10000 | Train Loss: 3.1233
Step 360/10000 | Train Loss: 3.0687
Step 370/10000 | Train Loss: 3.1451
Step 380/10000 | Train Loss: 3.1129
Step 390/10000 | Train Loss: 3.1014
Step 400/10000 | Train Loss: 3.0483 | Eval Train Loss: 3.0699
Step 410/10000 | Train Loss: 3.0420
Step 420/10000 | Train Loss: 3.0281
Step 430/10000 | Train Loss: 3.0020
Step 440/10000 | Train Loss: 2.9830
Step 450/10000 | Train Loss: 3.0197
Step 460/10000 | Train Loss: 2.9754
Step 470/10000 | Train Loss: 2.9582
Step 480/10000 | Train Loss: 2.9331
Step 490/10000 | Train Loss: 2.9647
Step 500/10000 | Train Loss: 2.9405 | Eval Train Loss: 2.9194
Step 510/10000 | Train Loss: 2.8571
Step 520/10000 | Train Loss: 2.8738
Step 530/10000 | Train Loss: 2.9544
Step 540/10000 | Train Loss: 2.9071
Step 550/10000 | Train Loss: 2.8871
Step 560/10000 | Train Loss: 2.8536
Step 570/10000 | Train Loss: 2.8522
Step 580/10000 | Train Loss: 2.8560
Step 590/10000 | Train Loss: 2.8081
Step 600/10000 | Train Loss: 2.8036 | Eval Train Loss: 2.8103
Step 610/10000 | Train Loss: 2.7736
Step 620/10000 | Train Loss: 2.8219
Step 630/10000 | Train Loss: 2.7948
Step 640/10000 | Train Loss: 2.8128
Step 650/10000 | Train Loss: 2.7566
Step 660/10000 | Train Loss: 2.7331
Step 670/10000 | Train Loss: 2.6646
Step 680/10000 | Train Loss: 2.7515
Step 690/10000 | Train Loss: 2.6964
Step 700/10000 | Train Loss: 2.7055 | Eval Train Loss: 2.7477
Step 710/10000 | Train Loss: 2.7187
Step 720/10000 | Train Loss: 2.7353
Step 730/10000 | Train Loss: 2.7777
Step 740/10000 | Train Loss: 2.6927
Step 750/10000 | Train Loss: 2.6782
Step 760/10000 | Train Loss: 2.6808
Step 770/10000 | Train Loss: 2.7254
Step 780/10000 | Train Loss: 2.6966
Step 790/10000 | Train Loss: 2.6640
Step 800/10000 | Train Loss: 2.6412 | Eval Train Loss: 2.6666
Step 810/10000 | Train Loss: 2.6438
Step 820/10000 | Train Loss: 2.6530
Step 830/10000 | Train Loss: 2.7345
Step 840/10000 | Train Loss: 2.6054
Step 850/10000 | Train Loss: 2.6437
Step 860/10000 | Train Loss: 2.6475
Step 870/10000 | Train Loss: 2.6350
Step 880/10000 | Train Loss: 2.6121
Step 890/10000 | Train Loss: 2.5885
Step 900/10000 | Train Loss: 2.6013 | Eval Train Loss: 2.6113
